model_name,train_R2,train_MAE,train_RMSE,train_MAPE,test_R2,test_MAE,test_RMSE,test_MAPE,gap_R2,gap_RMSE,gap_MAPE,target,workflow
A) Original Table 3 One-Step-Ahead,0.9713501571235992,772.9923225442607,1029.1363842973055,2.048739564738808,0.9623587177632642,946.0022740261129,1274.3712660566666,2.3344204954517287,0.008991439360334974,245.2348817593611,0.28568093071292067,consumption,one_step_ahead_actual_lag
B) Current Table 3 Rolling Month-Ahead,0.971080692284726,789.2524359415859,1050.317358552824,2.077465317766397,0.4914715259594933,3622.3507440871135,4684.048721593433,8.725380473726144,0.4796091663252326,3633.731363040609,6.647915155959748,consumption,monthly_refit_recursive_within_month
C) Table 8 Non-Recursive Historical,0.9844067262875543,594.8695480172253,785.9090925777961,1.602573289359792,0.9285736851642452,1263.1199032355878,1755.4678816869846,3.2514764512071226,0.05583304112330911,969.5587891091885,1.6489031618473307,sqrt_consumption,non_recursive_historical_analog
D) Table 3 Medium-Horizon Non-Recursive,0.9874272044881429,511.2010177591072,683.2049146401222,1.382874319021995,0.9481578312545945,1056.1260571846462,1495.565185082367,2.6626695464090804,0.0392693732335484,812.3602704422448,1.2797952273870854,consumption,non_recursive_historical_profiles_no_direct_hourly_lag
